Interval,GMTIntervalEnd,Reserve Zone,RegUPService,RegDNService,RegUpMile, RegDNMile,RampUP,RampDN,Spin,Supp,UncUP,BAA
07/27/2026 16:25:00,07/27/2026 21:25:00,1,8.0133,0.6655,0.0000,0.5000,0.0000,0.0000,3.0003,3.0003,0.0000,SPP
07/27/2026 16:25:00,07/27/2026 21:25:00,2,8.0133,0.6655,0.0000,0.5000,0.0000,0.0000,3.0003,3.0003,0.0000,SPP
07/27/2026 16:25:00,07/27/2026 21:25:00,21,10.0004,35.4132,0.0100,6.5800,0.0000,0.0000,9.0001,7.2444,0.0000,SWPW
07/27/2026 16:25:00,07/27/2026 21:25:00,3,8.0133,0.6655,0.0000,0.5000,0.0000,0.0000,3.0003,3.0003,0.0000,SPP
07/27/2026 16:25:00,07/27/2026 21:25:00,4,8.0133,0.6655,0.0000,0.5000,0.0000,0.0000,3.0003,3.0003,0.0000,SPP
07/27/2026 16:25:00,07/27/2026 21:25:00,5,8.0133,0.6655,0.0000,0.5000,0.0000,0.0000,3.0003,3.0003,0.0000,SPP
07/27/2026 16:25:00,07/27/2026 21:25:00,SPP,8.0133,0.6655,0.0000,0.5000,0.0000,0.0000,3.0003,3.0003,0.0000,SPP
07/27/2026 16:25:00,07/27/2026 21:25:00,SWPW,10.0004,35.4132,0.0100,6.5800,0.0000,0.0000,9.0001,7.2444,0.0000,SWPW
